DataSet,Study,Journal,Raptor order,Raptor family,Raptor genus,RaptorScientificName,Raptor common name,Continent,Country,Latitude (decimal degree),Longitude (decimal degree),Riparian/Lake,Woodland/Forest/Rainforest,Orchard/Plantation Forest,Pasture (grazed land),Prairie/Grassland/Meadow,Scrub/Shrub/Heath,Urban,Agriculture,Wetland/Marsh/Floodplain,Desert,Tundra,Coastal/Beach/Island,Season of collection,"Start quarter (1:Dec-Feb, 2: Mar-May, 3: Jun-Aug, 4: Sept-Nov)",End quarter,Pellets,Prey remains,Direct observations,DNA,Stomach/Gullet contents,Photos/ Videos,Num_obs,Notes,Year,PelletNumber,PreyPerPellet,
679,Solheim 1984,Annales Zoologici Fennici,Strigiformes,Strigidae,Glaucidium,Glaucidium passerinum,Eurasian Pygmy Owl,Europe,Norway,60.694,10.427,,,,,,,,X,,,,,,1,,X,X,,,,,9,,1972.5,,,
680,Solheim 1984,Annales Zoologici Fennici,Strigiformes,Strigidae,Glaucidium,Glaucidium passerinum,Eurasian Pygmy Owl,Europe,Norway,60.694,10.427,,,,,,,,X,,,,,,1,,X,X,,,,,725,,1973.5,,,
681,Solheim 1984,Annales Zoologici Fennici,Strigiformes,Strigidae,Glaucidium,Glaucidium passerinum,Eurasian Pygmy Owl,Europe,Norway,60.694,10.427,,,,,,,,X,,,,,,1,,X,X,,,,,120,,1974.5,,,
682,Solheim 1984,Annales Zoologici Fennici,Strigiformes,Strigidae,Glaucidium,Glaucidium passerinum,Eurasian Pygmy Owl,Europe,Norway,60.694,10.427,,,,,,,,X,,,,,,1,,X,X,,,,,316,,1975.5,,,
683,Solheim 1984,Annales Zoologici Fennici,Strigiformes,Strigidae,Glaucidium,Glaucidium passerinum,Eurasian Pygmy Owl,Europe,Norway,60.694,10.427,,,,,,,,X,,,,,,1,,X,X,,,,,134,,1976.5,,,
684,Mathieson et al 1997,Sunbird,Accipitriformes,Acciptridae,Elanus,Elanus scriptus,Letter-winged Kite,Australia/Oceania,Australia,-27.11,151.16,,,,X,,,,X,,,,,Breeding,4,,X,,,,,,883,,1995,,,
685,Mathieson et al 1997,Sunbird,Accipitriformes,Acciptridae,Elanus,Elanus axillaris,Black-shouldered Kite,Australia/Oceania,Australia,-27.11,151.16,,,,X,,,,X,,,,,Breeding,4,,X,,,,,,56,,1995,,,
686,Aumann 1988,Australian Wildlife Research,Accipitriformes,Acciptridae,Accipiter,Accipiter fasciatus,Brown Goshawk,Australia/Oceania,Australia,-37.54,145.3,X,X,,X,,,,,,,,,,,,X,X,X,,,,1769,,1982,,,
687,Debus 2008,Australian Field Ornithology,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucogaster,White-bellied Sea-eagle,Australia/Oceania,Australia,-30.17,151.44,X,X,,X,,,,,,,,,Breeding,,,X,,X,,,,32,,2007,,,
688,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-31.083,141.75,,,,,X,X,,,,,,,,1,,X,,,,,,288,Fowlers Gap Feb 1975,1975,56,5.14,
689,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-31.083,141.75,,,,,X,X,,,,,,,,2,,X,,,,,,229,Fowlers Gap May 1975,1975,46,4.98,
690,Hornfeldt et al 1990,Canadian Journal of Zoology,Strigiformes,Strigidae,Aegolius,Aegolius funereus,Boreal Owl,Europe,Sweden,64,20,,X,,,,,,,,,,,Breeding,2,3,,X,,,,,6750,,1983,,,
691,Sharp et al 2002,Wildlife Research,Accipitriformes,Acciptridae,Aquila,Aquila audax,Wedge-tailed Eagle,Australia/Oceania,Australia,-31.14,142.19,,X,,,,X,,,,,,,Breeding,,,,X,,,,,2071,mountains,1995.5,,,
692,Galeotti and Canova 1994,Journal of Raptor Research,Strigiformes,Strigidae,Asio,Asio otus,Long-eared Owl,Europe,Italy,45.285,10.021,,X,,,,,X,X,,,,X,Non-breeding,1,2,X,,,,,,3494,,1978,,,
693,Pavey et al 2008,Journal of Arid Environments,Accipitriformes,Acciptridae,Elanus,Elanus scriptus,Letter-winged Kite,Australia/Oceania,Australia,-25.12,135.507,,,,,X,,,,,X,,,,4,,X,,,,,,225,,2001,145,1.55,
694,Pavey et al 2008,Journal of Arid Environments,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-25.12,135.507,,,,,X,,,,,X,,,,4,,X,,,,,,303,,2001,143,2.12,
695,Carrera et al 2008,Ornitologia Neotropical,Strigiformes,Strigidae,Glaucidium,Glaucidium brasilianum,Ferruginous Pygmy Owl,South America,Argentina,-25.3,-61.54,,X,,,,,,,,,,,Breeding,4,1,X,X,,,,,69,,2005.5,,,
696,McPherson et al 2015,Urban Ecosystems,Accipitriformes,Acciptridae,Stephanoaetus,Stephanoaetus coronatus,Crowned Eagle,Africa,South Africa,-28.893,30.561,,,,,,,X,,,,,,Breeding,3,2,,,,,,X,777,,2012.5,,,
697,Yalden 1985,Bird Study,Strigiformes,Strigidae,Asio,Asio otus,Long-eared Owl,Europe,England,53.329,-1.783,,,,X,X,,,,,,,,Year round,,,X,,,,,,1228,seasons combined for increased taxonomic specificity,1976.5,,,
698,Yalden 1985,Bird Study,Strigiformes,Strigidae,Asio,Asio flammeus,Short-eared Owl,Europe,England,53.329,-1.783,,,,X,X,,,,,,,,Year round,,,X,,,,,,139,,1976.5,,,
699,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-31.083,141.75,,,,,X,X,,,,,,,,1,,X,,,,,,138,Fowlers Gap Dec 1974,1974,26,5.31,
700,Looman et al 1996,Great Basin Naturalist,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,40.189,-111.628,X,,,,,,X,X,,,,,Breeding,1,3,X,X,,,,,2223,,1981.5,,,
701,Skorupa 1989,Ibis,Accipitriformes,Acciptridae,Stephanoaetus,Stephanoaetus coronatus,Crowned Eagle,Africa,Uganda,0.391,30.341,,X,,,,,,,,,,,,,,,X,,,,,33,"includes predation events reported by other scientists in the park: Butynski, Ghiglieri, Oates, Struhsaker & Leland, and Waser",1977.5,,,
702,Zarybnicka et al 2017,Bird Study,Strigiformes,Strigidae,Aegolius,Aegolius funereus,Boreal Owl,Europe,Czech Republic,49,13,,X,,X,X,,X,X,X,,,,,,,X,X,,,,,19017,,1994.5,,,
703,Verdal and Selas 2010,Ornis Norvegica,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,Europe,Norway,59.81,5.37,,X,,,,,,,,,,X,Breeding,2,3,,X,,,,,242,,2006,,,
704,Verdal and Selas 2010,Ornis Norvegica,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,Europe,Norway,60.23,5.43,,X,,,,,X,X,,,,,Breeding,2,3,,X,,,,,169,,2006,,,
705,Verdal and Selas 2010,Ornis Norvegica,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,Europe,Norway,60.72,6.61,,X,,,,,,X,,,,,Breeding,2,3,,X,,,,,165,,2006,,,
706,Dombrovski 2010,Slovak Raptor Journal,Accipitriformes,Acciptridae,Clanga,Clanga clanga,Greater Spotted Eagle,Europe,Belarus,52.414,30.882,X,,,,,,,,X,,,,Breeding,,,X,X,,,,,308,,2004,,,
707,Trejo et al 2006,Hornero,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,South America,Argentina,-41.18,-71.05,,X,,,X,,,,,,,,Breeding,4,1,X,X,,,,,159,,2002.5,,,
708,Trejo et al 2006,Hornero,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,South America,Argentina,-41.03,-70.59,,X,,,X,,,,,,,,Breeding,4,1,X,X,,,,,214,,2002.5,,,
709,Trejo et al 2006,Hornero,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,South America,Argentina,-40.54,-70.42,,X,,,X,,,,,,,,Breeding,4,1,X,X,,,,,74,,2002.5,,,
710,Trejo et al 2006,Hornero,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,South America,Argentina,-40.11,-70.39,,X,,,X,,,,,,,,Breeding,4,1,X,X,,,,,47,,2002.5,,,
711,Trejo et al 2006,Hornero,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,South America,Argentina,-41.44,-69.32,,X,,,X,,,,,,,,Breeding,4,1,X,X,,,,,29,,2002.5,,,
712,Baker-Gabb 1984,Australian Wildlife Research,Accipitriformes,Acciptridae,Haliastur,Haliastur sphenurus,Whistling Kite,Australia/Oceania,Australia,-38,144,,,,X,X,,,,,,,X,,3,,X,X,X,,,,161,,1979.5,,,
713,Baker-Gabb 1984,Australian Wildlife Research,Accipitriformes,Acciptridae,Circus,Circus approximans,Swamp Harrier,Australia/Oceania,Australia,-38,144,,,,X,X,,,,,,,X,,3,,X,X,X,,,,270,,1979.5,,,
714,Baker-Gabb 1984,Australian Wildlife Research,Falconiformes,Falconidae,Falco,Falco berigora,Brown Falcon,Australia/Oceania,Australia,-38,144,,,,X,X,,,,,,,X,,3,,X,X,X,,,,246,,1979.5,,,
715,Baker-Gabb 1984,Australian Wildlife Research,Accipitriformes,Acciptridae,Accipiter,Accipiter fasciatus,Brown Goshawk,Australia/Oceania,Australia,-38,144,,,,X,X,,,,,,,X,,3,,X,X,X,,,,141,,1979.5,,,
716,Baker-Gabb 1984,Australian Wildlife Research,Accipitriformes,Acciptridae,Elanus,Elanus axillaris,Black-shouldered Kite,Australia/Oceania,Australia,-38,144,,,,X,X,,,,,,,X,,3,,X,X,X,,,,56,,1979.5,,,
717,Baker-Gabb 1984,Australian Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-38,144,,,,X,X,,,,,,,X,,3,,X,X,X,,,,236,,1979.5,,,
718,Baker-Gabb 1984,Australian Wildlife Research,Strigiformes,Strigidae,Ninox,Ninox boobook,Australian Boobook,Australia/Oceania,Australia,-38,144,,,,X,X,,,,,,,X,,3,,X,X,X,,,,155,,1979.5,,,
719,Begall 2005,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Chile,-36.183,-72.4,,X,,X,,X,,,,,,,,1,,X,,,,,,354,El alamo,1998,318,1.11,
720,Begall 2005,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Chile,-36.767,-71.45,,,,,,X,,,,,,,,1,,X,,,,,,335,Los maitenes,1998,239,1.4,
721,Al-Melhim et al 2013,Zoology in the Middle East,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Asia,Jordan,32.5,37.333,,,,,,,,,,,,,,,,X,,,,,,,,1997,,,
722,Bildstein 1978,Dissertation,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,39.461,-82.85,,,,,,,,X,,,,,Non-breeding,1,,,,X,,,,23,,1975,,,
723,Bildstein 1978,Dissertation,Accipitriformes,Acciptridae,Buteo,Buteo lagopus,Rough-legged Hawk,North America,USA,39.461,-82.85,,,,,,,,X,,,,,Non-breeding,1,,,,X,,,,66,,1975,,,
724,Bildstein 1978,Dissertation,Accipitriformes,Acciptridae,Circus,Circus hudsonius,Northern Harrier,North America,USA,39.461,-82.85,,,,,,,,X,,,,,Non-breeding,1,,,,X,,,,80,,1975,,,
725,Bildstein 1978,Dissertation,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,North America,USA,39.461,-82.85,,,,,,,,X,,,,,Non-breeding,1,,,,X,,,,105,,1975,,,
726,Contoli 1975,Bolletino di Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,42.191,11.821,,,,,,,,,,,,,,,,X,,,,,,128,,1975,,,
727,Contoli 1975,Bolletino di Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,42.189,11.98,,,,,,,,,,,,,,,,X,,,,,,209,,1975,,,
728,Contoli 1975,Bolletino di Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,42.302,11.877,,,,,,,,,,,,,,,,X,,,,,,165,,1975,,,
729,Contoli 1975,Bolletino di Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,42.813,13.33,,,,,,,,,,,,,,,,X,,,,,,144,,1975,,,
730,Contoli 1975,Bolletino di Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.126,11.339,,,,,,,,,,,,,,,,X,,,,,,56,,1975,,,
731,Contoli 1975,Bolletino di Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,42.688,12.718,,,,,,,,,,,,,,,,X,,,,,,66,,1975,,,
732,Dementiev and Gortchakovskaya 1945,Ibis,Falconiformes,Falconidae,Falco,Falco rusticolus,Gyrfalcon,Europe,Russia,68.817,37.333,,,,,,,,,,,,X,Breeding,2,3,,X,,,,,29,,1941,,,
733,Dementiev and Gortchakovskaya 1945,Ibis,Falconiformes,Falconidae,Falco,Falco rusticolus,Gyrfalcon,Europe,Russia,67.731,33.71,,X,,,,,,,,,,,Breeding,,,,X,,,,,59,,1941,,,
734,Fitch 1978,Transactions of the Kansas Academy of Science,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,39.193,-95.61,,,,,,,,X,,,,,Breeding,2,3,X,,,,,,2720,,1961.5,1322,2.06,
735,Fitch 1946,The Condor,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,37.099,-119.743,,,,,,,,,,,,,Breeding,,,,X,X,,,,625,,1940,,,
736,Fitch 1946,The Condor,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,37.099,-119.743,,,,,,,,,,,,,Breeding,,,X,,,,,,3477,,1939.5,2094,1.66,
737,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,England,50.969,-3.487,,,,,,,,,,,,,Year round,5,,X,,,,,,9572,Southwest England,1968,,,
738,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,England,51.122,-0.671,,,,,,,,,,,,,Year round,5,,X,,,,,,7138,Southeast England,1968,,,
739,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,England,52.766,0.773,,,,,,,,,,,,,Year round,5,,X,,,,,,8179,Eastern England,1968,,,
740,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,England,52.213,-1.133,,,,,,,,,,,,,Year round,5,,X,,,,,,4784,Midlands (England),1968,,,
741,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Wales,52.415,-3.701,,,,,,,,,,,,,Year round,5,,X,,,,,,4340,,1968,,,
742,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,England,54.619,-2.696,,,,,,,,,,,,,Year round,5,,X,,,,,,4525,Northern England,1968,,,
743,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Scotland,56.618,-4.098,,,,,,,,,,,,,Year round,5,,X,,,,,,7494,,1968,,,
744,Glue 1974,Bird Study,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Ireland,53.273,-7.794,,,,,,,,,,,,,Year round,5,,X,,,,,,1731,Includes Ireland and Isle of Man,1968,,,
745,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-31.083,141.75,,,,,,X,,,,,,,,4,,X,,,,,,105,Fowlers Gap Oct 1974,1974,25,4.2,
746,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-31.483,139.383,X,,,,,X,,,,,,,,4,,X,,,,,,141,Erudina,1975,31,4.55,
747,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-28.583,138.733,,,,,,,,,,,,,,4,,X,,,,,,250,Etadunna,1975,129,1.94,
748,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-29.433,138.25,,,,,,,,,,,,,,4,,X,,,,,,99,Lake Harry,1975,48,2.06,
749,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-29.233,141.9,X,,,,,,,,,,,,,1,,X,,,,,,926,Mount King,1975,246,3.76,
750,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-27.933,135.817,X,,,,,,,,,,,,,4,,X,,,,,,16,Algebuckinna,1975,21,0.76,
751,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-29.233,134.783,X,,,,,,,,,,,,,4,,X,,,,,,100,Coober Pedy,1975,59,1.69,
752,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-26.967,133.55,X,,,,,,,,,,,,,4,,X,,,,,,238,Granite Downs,1975,64,3.72,
753,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-26.15,132.817,X,,,,,,,,,,,,,4,,X,,,,,,202,Kenmore Park,1975,56,3.61,
754,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-28.2,135.83,,,,,,X,,,,,,,,4,,X,,,,,,50,Warrina,1975,30,1.67,
755,Morton and Martin 1979,Wildlife Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Australia/Oceania,Australia,-28.933,136.333,,,,,X,,,,,,,,,4,,X,,,,,,169,William Creek,1975,39,4.33,
756,Rusch and Doerr 1972,The Auk,Accipitriformes,Acciptridae,Buteo,Buteo platypterus,Broad-winged Hawk,North America,Canada,54.368,-113.455,,X,,,,,,X,,,,,Breeding,3,,X,X,,,,,85,,1966,,,
757,Rusch and Doerr 1972,The Auk,Accipitriformes,Acciptridae,Buteo,Buteo platypterus,Broad-winged Hawk,North America,Canada,54.368,-113.455,,X,,,,,,X,,,,,Breeding,3,,X,X,,,,,93,,1968,,,
758,Luttich et al 1970,Ecology,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,Canada,54.368,-113.455,,X,,,,,,X,,,,,Breeding,3,,X,X,,,,,2657,,1966.5,,,
759,Del Guasta 2000,Picus,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,44.011,11.299,,,,,,,,X,,,,,,3,4,X,,,,,,263,"Site A, 1st time period",1994,,,Pellet number not believable
760,Del Guasta 2000,Picus,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,44.011,11.299,,,,,,,,X,,,,,,1,2,X,,,,,,235,"Site A, 2nd time period",1994,82,2.87,
761,Del Guasta 2000,Picus,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,44.011,11.299,,,,,,,,X,,,,,,2,3,X,,,,,,198,"Site A, 3rd time period",1994,71,2.79,
762,Del Guasta 2000,Picus,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,44.011,11.299,,,,,,,,X,,,,,,3,,X,,,,,,167,"Site A, 4th time period",1994,53,3.15,
763,Del Guasta 2000,Picus,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,44.011,11.299,,,,,,,,X,,,,,,,,X,,,,,,129,Site B,1992,,,
764,Del Guasta 1999 (as presented in Del Guasta 2000 Picus),Bollettino/Museo Regionale di Scienze Naturali,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,44.011,11.299,,,,,,,,X,,,,,,,,X,,,,,,12335,,1994,,,
765,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,X,,,,,,,,,,,Breeding,,,X,,,,,,140,Vass Ranch 1939,1939,,,
766,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,X,,,,,,,,,,,Breeding,,,X,,,,,,35,Callaghan Slough 1938,1938,,,
767,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,X,,,,,,,,,,,Breeding,,,X,,,,,,90,Struve Ranch 1940,1940,,,
768,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,2,,X,,,,,,188,Bitterwater 1939,1939,,,
769,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,,,X,,,,,,42,Bitterwater 1941,1941,,,
770,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,,,X,,,,,,42,Ortigalita 1941,1941,,,
771,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,,,X,,,,,,90,Lower Little Panoche 1941,1941,,,
772,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,,,X,,,,,,122,Upper Little Panoche 1941,1941,,,
773,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,,,X,,,,,,82,Mercy Hot Springs 1941,1941,,,
774,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,,,X,,,,,,45,Panoche 1941,1941,,,
775,Hawbecker 1945,The Condor,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,36.682,-120.787,,,,,,,,,,,,,Breeding,2,,X,,,,,,81,Silver Creek 1941,1941,,,
776,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,39.781,-0.368,,,X,,,,,,,,,,,,,X,,,,,,96,Algar de Palancia,1977,,,
777,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,38.986,-0.533,,X,,,,X,,,,,,,,,,X,,,,,,132,Penas Rojas,1977,,,
778,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,39.32,-0.572,,,X,,,,,,,,,,,,,X,,,,,,683,Catadau,1977,,,
779,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,39.252,-0.536,,,X,,,,,X,,,,,,,,X,,,,,,240,Carlet,1977,,,
780,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,39.199,-0.504,,,X,,,,,X,,,,,,,,X,,,,,,137,Alcudia de Carlet,1977,,,
781,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,38.007,-0.768,,,X,,,,,X,,,,,,,,X,,,,,,689,La Marquesa,1977,,,
782,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,39.072,-0.487,,,X,,,,,X,,,,,,,,X,,,,,,259,San Juan de Enova,1977,,,
783,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,38.825,-0.734,,X,,,,,,,,,,,,,,X,,,,,,145,Casa de los Ingenieros,1977,,,
784,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,38.986,-0.533,,X,,,,,,,,,,,,,,X,,,,,,278,Casa Eixart,1977,,,
785,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,38.813,-0.409,,,X,,,,,X,,,,,,,,X,,,,,,427,Gayanes,1977,,,
786,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,38.608,-0.42,,X,X,,,X,,,,,,,,,,X,,,,,,86255,Torremanzanas,1977,,,
787,Martin and Vericad 1977,Mediterranea: Serie de estudios sobre biologia terrestre mediterranea,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,38.986,-0.533,,,,,,,,X,,,,,,,,X,,,,,,165,Barranco de las Cuevas,1977,,,
788,Bull et al 1989,The Condor,Strigiformes,Strigidae,Asio,Asio otus,Long-eared Owl,North America,USA,45.24,-118.552,,X,,,X,,,,,,,,Breeding,1,2,X,X,,,,,1140,,1987.5,,,
789,Marples 1942,The Transactions and Proceedings of the Royal Society of New Zealand,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Australia/Oceania,New Zealand,-43.978,170.778,,,,,,,,,,,,,,,,X,X,,,X,,5267,,1939,,,
790,Hellstrom et al 2014,Oecologia,Accipitriformes,Acciptridae,Buteo,Buteo lagopus,Rough-legged Hawk,Europe,Sweden,67.75,17.5,,X,,,,,,,,,,,Breeding,,,X,X,,,,,345,,2003.5,,,
791,Hellstrom et al 2014,Oecologia,Accipitriformes,Acciptridae,Buteo,Buteo lagopus,Rough-legged Hawk,Europe,Sweden,67.75,17.5,,X,,,,,,,,,,,,,,X,X,,,,,249,,2003.5,,,
792,Hellstrom et al 2014,Oecologia,Accipitriformes,Acciptridae,Buteo,Buteo lagopus,Rough-legged Hawk,Europe,Sweden,67.75,17.5,,,,,,X,,,,,X,,Breeding,,,X,X,,,,,134,,2003.5,,,
793,Hellstrom et al 2014,Oecologia,Accipitriformes,Acciptridae,Buteo,Buteo lagopus,Rough-legged Hawk,Europe,Sweden,67.75,17.5,,,,,,X,,,,,X,,,,,X,X,,,,,176,,2003.5,,,
