"DataSet","lat","lon","subbiome","biome","ecozone","subbiome_n","biome_n","ecozone_n"
503,29.317,71.917,"7c",7,"CA","7c. Warm deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
504,29.317,71.917,"7c",7,"CA","7c. Warm deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
505,33.3,9.38,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
506,58.081,-5.061,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
507,58.081,-5.061,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
508,58.081,-5.061,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
509,58.081,-5.061,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
510,58.081,-5.061,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
511,46,14.3,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
512,35.54,138.22,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
513,12.328,-69.115,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
514,50.02,20.2,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
515,31,72,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
516,31,72,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
517,31,72,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
518,31,72,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
519,9.56,78.07,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
520,9.56,78.07,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
521,9.56,78.07,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
522,48.306,18.096,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
523,48.69923613,21.52753342,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
524,45.38,29.669,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
525,0.39,34.8,"4c",4,"BA","4c.Tropical montane cloud lauroid and conifer evergreen forest","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
526,60.885,11.59,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
527,30.527,75.123,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
528,30.527,75.123,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
529,30.527,75.123,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
530,30.527,75.123,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
531,-5.217,30.45,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
532,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
533,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
534,-52.349,-68.436,"5c",5,"BB","5c. Patagonian shrubland","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
535,-40.43,-60.63,NA,NA,NA,NA,NA,NA
536,-40.43,-60.63,NA,NA,NA,NA,NA,NA
537,-40.12,-71.3,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
538,-40.12,-71.3,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
539,-42.091,145.968,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
540,-42.091,145.968,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
541,-18.27,145.971,"9a",9,"DB","9a. Tropical rain forests","9. Biome of the tropical rain forests","DB. Tropical pluvial, rainy all the year round ecozone"
542,-18.27,145.971,"9a",9,"DB","9a. Tropical rain forests","9. Biome of the tropical rain forests","DB. Tropical pluvial, rainy all the year round ecozone"
543,-28.907,31.078,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
544,44.011,11.299,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
545,45,11,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
546,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
547,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
548,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
549,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
550,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
551,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
552,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
553,48.01,17.06,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
554,50.869,-114.008,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
555,-35.532,149.066,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
556,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
557,55.133,-4.402,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
558,44.1,126.6,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
559,53.01,18.35,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
560,53.01,18.35,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
561,13.999,76.999,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
562,53.34,9.59,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
563,42.2,-8.47,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
564,11.97,79.77,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
565,15.58,78.18,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
566,10.944,78.449,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
567,11.92,79.81,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
568,52.301,1.617,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
569,52.301,1.617,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
570,53.58,23.23,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
571,50.011,19.915,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
572,50.011,20.97,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
573,51.3,22.35,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
574,45.726,10.843,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
575,45.726,10.843,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
576,45.726,10.843,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
577,45.726,10.843,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
578,53,29,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
579,53,22,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
580,54.2,22.28,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
581,50.855,-1.668,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
582,63.2,10.45,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
583,63.2,10.45,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
584,53.329,-1.783,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
585,53.329,-1.783,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
586,56.246,22.737,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
587,55.643,22.948,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
588,55.32,23.987,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
589,54.856,24.423,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
590,54.957,23.05,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
591,56.281,23.206,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
592,55.317,23.985,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
593,54.864,24.421,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
594,56.301,24.901,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
595,55.079,24.277,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
596,51.48,19.53,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
597,51.48,19.53,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
598,49.36,36.19,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
599,49.36,36.19,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
600,49.36,36.19,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
601,49.36,36.19,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
602,54.906,24.162,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
603,44.011,11.299,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
604,52.172,-3.59,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
605,54.698,-2.444,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
606,54.083,23.022,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
607,54.083,23.022,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
608,-38.14,-72.38,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
609,-38.14,-72.38,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
610,45,9,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
611,15.558,-61.453,"9a",9,"DB","9a. Tropical rain forests","9. Biome of the tropical rain forests","DB. Tropical pluvial, rainy all the year round ecozone"
612,15.558,-61.453,"9a",9,"DB","9a. Tropical rain forests","9. Biome of the tropical rain forests","DB. Tropical pluvial, rainy all the year round ecozone"
613,-50.45,166.1,NA,NA,NA,NA,NA,NA
614,55.614,24.738,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
615,55.614,24.738,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
616,57.4,63,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
617,12.198,-68.258,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
618,45.538,20.365,"6a",6,"BC","6a. Forest-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
619,52.07,-106.38,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
620,-31.083,141.75,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
621,-31.083,141.75,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
622,-31.083,141.75,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
623,45.763,-113.131,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
624,-33.23,-70.31,"1c",1,"AA","1c. Tundras of the tropical mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
625,-33.23,-70.31,"1c",1,"AA","1c. Tundras of the tropical mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
626,-33.23,-70.31,"1c",1,"AA","1c. Tundras of the tropical mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
627,-33.23,-70.31,"1c",1,"AA","1c. Tundras of the tropical mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
628,-0.486,-78.144,"1c",1,"AA","1c. Tundras of the tropical mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
629,52.07,106.38,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
630,53.629,-113.366,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
631,-31.083,141.75,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
632,25.1,121.33,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
633,25.1,121.33,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
634,-0.486,-78.144,"1c",1,"AA","1c. Tundras of the tropical mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
635,-0.486,-78.144,"1c",1,"AA","1c. Tundras of the tropical mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
636,-47.4,-67.6,"5c",5,"BB","5c. Patagonian shrubland","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
637,-39.57,-71.05,"5c",5,"BB","5c. Patagonian shrubland","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
638,-33.32,21.48,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
639,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
640,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
641,63.118,-151.201,"1a",1,"AA","1a. Polar tundra","1. Biome of the tundra","AA. Polar and boreal ecozone"
642,55.728,13.459,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
643,52.139,-106.659,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
644,51.48,19.53,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
645,-41.344,173.613,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
646,-30.3,151.4,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
647,-34.48,148.95,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
648,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
649,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
650,-31.05,141.45,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
651,-31.05,150.55,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
652,-29.42,142.03,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
653,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
654,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
655,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
656,-35.282,149.129,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
657,-28.49,153.16,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
658,-35.16,149.7,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
659,50.723,-3.53,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
660,-29.474,21.015,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
661,-33.195,22.041,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
662,-32.407,26.439,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
663,-35.17,149.8,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
664,-35.17,149.8,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
665,67.012,32.394,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
666,67.012,32.394,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
667,-33.14,26.19,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
668,28.39,54.38,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
669,67.012,32.394,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
670,67.012,32.394,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
671,65.1,-147.45,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
672,65.1,-147.45,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
673,65.1,-147.45,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
674,38.85,20.76,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
675,39.07,20.48,NA,NA,NA,NA,NA,NA
676,62,24,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
677,52.45,23.55,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
678,60.694,10.427,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
679,60.694,10.427,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
680,60.694,10.427,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
681,60.694,10.427,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
682,60.694,10.427,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
683,60.694,10.427,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
684,-27.11,151.16,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
685,-27.11,151.16,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
686,-37.54,145.3,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
687,-30.17,151.44,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
